# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 82500 8.75e+01 8.94e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 90000 9.12e+01 9.35e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 97500 9.28e+01 9.50e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 105000 9.01e+01 9.23e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 112500 9.14e+01 9.34e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 120000 9.49e+01 9.70e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 127500 9.27e+01 9.54e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 135000 9.42e+01 9.74e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 142500 9.25e+01 9.59e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 1 150000 9.25e+01 9.68e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 7500 5.92e-01 4.12e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 15000 2.21e+00 7.29e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 22500 2.66e+01 3.23e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 30000 6.60e+01 6.90e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 37500 7.98e+01 8.24e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 45000 8.49e+01 8.75e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 52500 9.11e+01 9.33e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 60000 8.85e+01 9.11e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 67500 8.76e+01 8.99e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 75000 8.78e+01 8.97e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 82500 8.71e+01 8.87e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 90000 9.20e+01 9.40e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 97500 9.03e+01 9.22e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 105000 8.98e+01 9.19e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 112500 8.66e+01 8.92e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 120000 8.97e+01 9.18e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 127500 8.44e+01 8.72e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 135000 8.51e+01 8.76e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 142500 8.88e+01 9.21e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 2 150000 9.23e+01 9.56e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 7500 6.20e-01 4.28e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 15000 3.06e+00 7.37e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 22500 3.82e+01 4.30e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 30000 7.06e+01 7.37e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 37500 7.68e+01 8.00e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 45000 8.49e+01 8.74e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 52500 8.72e+01 8.97e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 60000 8.76e+01 8.98e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 67500 8.97e+01 9.21e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 75000 9.26e+01 9.49e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 82500 9.51e+01 9.73e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 90000 9.50e+01 9.64e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 97500 9.63e+01 9.80e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 105000 9.47e+01 9.70e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 112500 9.33e+01 9.62e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 120000 9.48e+01 9.84e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 127500 9.25e+01 9.63e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 135000 9.42e+01 9.77e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 142500 9.37e+01 9.75e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 3 150000 9.46e+01 9.82e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 7500 6.53e-01 4.43e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 15000 3.43e+00 8.32e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 22500 3.64e+01 4.13e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 30000 6.53e+01 7.01e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 37500 7.88e+01 8.23e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 45000 8.36e+01 8.61e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 52500 8.59e+01 8.89e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 60000 8.95e+01 9.24e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 67500 8.78e+01 9.06e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 75000 9.04e+01 9.30e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 82500 9.17e+01 9.44e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 90000 9.12e+01 9.35e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 97500 9.02e+01 9.22e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 105000 9.51e+01 9.65e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 112500 8.95e+01 9.10e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 120000 8.86e+01 9.03e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 127500 8.98e+01 9.21e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 135000 9.33e+01 9.53e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 142500 9.45e+01 9.62e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 4 150000 9.45e+01 9.72e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 7500 6.32e-01 4.21e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 15000 2.33e+00 7.06e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 22500 2.82e+01 3.34e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 30000 6.80e+01 7.21e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 37500 7.76e+01 8.09e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 45000 8.45e+01 8.77e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 52500 8.73e+01 8.94e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 60000 9.24e+01 9.43e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 67500 8.66e+01 8.92e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 75000 9.01e+01 9.23e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 82500 9.34e+01 9.58e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 90000 9.37e+01 9.56e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 97500 8.81e+01 9.02e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 105000 8.98e+01 9.20e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 112500 9.32e+01 9.56e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 120000 9.12e+01 9.45e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 127500 9.14e+01 9.54e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 135000 8.95e+01 9.32e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 142500 8.82e+01 9.23e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 5 150000 9.30e+01 9.71e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 7500 6.75e-01 4.37e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 15000 3.04e+00 7.92e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 22500 3.80e+01 4.28e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 30000 7.01e+01 7.33e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 37500 7.46e+01 7.73e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 45000 8.66e+01 8.89e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 52500 8.72e+01 8.89e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 60000 8.77e+01 8.95e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 67500 9.22e+01 9.48e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 75000 9.68e+01 9.94e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 82500 9.21e+01 9.46e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 90000 9.19e+01 9.46e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 97500 9.20e+01 9.42e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 105000 9.56e+01 9.80e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 112500 8.97e+01 9.36e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 120000 8.85e+01 9.28e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 127500 8.98e+01 9.33e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 135000 9.40e+01 9.69e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 142500 9.46e+01 9.80e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 150000 9.32e+01 9.66e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 7500 6.15e-01 4.44e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 15000 2.78e+00 6.97e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 22500 3.46e+01 3.87e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 30000 6.62e+01 6.90e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 37500 7.52e+01 7.78e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 45000 8.34e+01 8.56e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 52500 8.91e+01 9.25e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 60000 8.67e+01 8.94e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 67500 8.78e+01 9.01e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 75000 9.08e+01 9.33e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 82500 9.27e+01 9.52e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 90000 9.46e+01 9.77e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 97500 9.42e+01 9.72e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 105000 9.37e+01 9.65e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 112500 9.39e+01 9.67e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 120000 9.66e+01 1.00e+02
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 127500 9.34e+01 9.73e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 135000 9.40e+01 9.80e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 142500 9.46e+01 9.82e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 150000 9.49e+01 9.90e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 7500 6.24e-01 4.23e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 15000 2.49e+00 6.98e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 22500 2.96e+01 3.40e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 30000 6.99e+01 7.24e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 37500 7.78e+01 8.07e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 45000 8.34e+01 8.57e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 52500 8.21e+01 8.43e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 60000 8.87e+01 9.13e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 67500 9.10e+01 9.25e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 75000 9.09e+01 9.28e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 82500 9.20e+01 9.39e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 90000 9.07e+01 9.33e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 97500 8.96e+01 9.19e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 105000 9.22e+01 9.44e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 112500 9.33e+01 9.55e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 120000 9.27e+01 9.53e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 127500 8.94e+01 9.28e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 135000 8.84e+01 9.26e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 142500 9.34e+01 9.76e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 150000 9.27e+01 9.64e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 7500 6.23e-01 4.25e+00
2 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 15000 3.19e+00 7.73e+00
3 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 22500 3.47e+01 3.93e+01
4 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 30000 6.57e+01 6.95e+01
5 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 37500 7.58e+01 7.89e+01
6 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 45000 8.24e+01 8.49e+01
7 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 52500 8.35e+01 8.57e+01
8 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 60000 9.06e+01 9.30e+01
9 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 67500 9.08e+01 9.30e+01
10 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 75000 9.23e+01 9.52e+01
11 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 82500 9.02e+01 9.26e+01
12 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 90000 9.15e+01 9.38e+01
13 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 97500 9.12e+01 9.35e+01
14 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 105000 9.49e+01 9.72e+01
15 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 112500 9.55e+01 9.81e+01
16 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 120000 9.18e+01 9.55e+01
17 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 127500 9.26e+01 9.66e+01
18 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 135000 9.39e+01 9.76e+01
19 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 142500 9.54e+01 9.88e+01
20 A3C 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 150000 9.52e+01 9.90e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 7500 3.38e-01 4.30e+00
2 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 15000 9.00e-01 6.80e+00
3 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 22500 4.46e+00 1.84e+01
4 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 30000 1.27e+01 4.07e+01
5 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 37500 2.02e+01 5.94e+01
6 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 45000 2.19e+01 6.07e+01
7 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 52500 2.50e+01 6.70e+01
8 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 60000 2.61e+01 6.82e+01
9 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 67500 3.13e+01 7.78e+01
10 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 75000 3.26e+01 8.00e+01
11 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 82500 3.38e+01 8.10e+01
12 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 90000 3.34e+01 7.95e+01
13 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 97500 3.39e+01 7.86e+01
14 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 105000 3.59e+01 8.16e+01
15 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 112500 3.81e+01 8.53e+01
16 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 120000 4.05e+01 9.04e+01
17 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 127500 3.98e+01 8.80e+01
18 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 135000 4.10e+01 9.00e+01
19 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 142500 4.14e+01 8.98e+01
20 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 150000 3.94e+01 8.63e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 7500 3.03e-01 4.39e+00
2 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 15000 9.08e-01 6.97e+00
3 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 22500 4.09e+00 1.75e+01
4 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 30000 1.46e+01 4.44e+01
5 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 37500 2.17e+01 5.80e+01
6 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 45000 2.63e+01 6.61e+01
7 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 52500 2.91e+01 6.87e+01
8 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 60000 3.13e+01 7.29e+01
9 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 67500 3.23e+01 7.25e+01
10 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 75000 3.41e+01 7.63e+01
11 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 82500 3.85e+01 8.51e+01
12 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 90000 3.66e+01 8.02e+01
13 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 97500 3.75e+01 8.23e+01
14 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 105000 3.93e+01 8.58e+01
15 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 112500 3.69e+01 8.03e+01
16 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 120000 4.13e+01 8.90e+01
17 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 127500 3.87e+01 8.33e+01
18 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 135000 4.15e+01 8.85e+01
19 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 142500 4.14e+01 8.87e+01
20 A3C 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 150000 4.16e+01 8.86e+01
