# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 7000 5.03e+01 5.22e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 8000 6.03e+01 6.20e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 9000 6.98e+01 7.14e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 10000 7.89e+01 8.02e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 11000 8.83e+01 8.93e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 12000 8.88e+01 8.99e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 13000 8.86e+01 8.97e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 14000 8.89e+01 9.01e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 15000 8.68e+01 8.78e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 16000 8.68e+01 8.78e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 17000 8.70e+01 8.81e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 18000 8.92e+01 9.03e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 19000 8.80e+01 8.91e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 6 20000 8.71e+01 8.81e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 1000 6.37e-01 4.19e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 2000 4.11e+00 8.18e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 3000 1.29e+01 1.68e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 4000 2.23e+01 2.60e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 5000 3.15e+01 3.48e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 6000 4.07e+01 4.36e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 7000 4.95e+01 5.22e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 8000 6.00e+01 6.22e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 9000 6.93e+01 7.14e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 10000 7.85e+01 8.02e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 11000 8.60e+01 8.75e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 12000 8.56e+01 8.71e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 13000 8.67e+01 8.81e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 14000 8.64e+01 8.77e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 15000 8.62e+01 8.75e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 16000 8.76e+01 8.89e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 17000 8.60e+01 8.74e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 18000 8.50e+01 8.63e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 19000 8.63e+01 8.77e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 7 20000 8.62e+01 8.77e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 1000 4.69e-01 3.88e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 2000 3.61e+00 7.54e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 3000 1.30e+01 1.69e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 4000 2.28e+01 2.65e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 5000 3.16e+01 3.50e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 6000 4.14e+01 4.45e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 7000 5.07e+01 5.35e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 8000 6.04e+01 6.23e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 9000 7.03e+01 7.20e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 10000 7.88e+01 8.00e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 11000 8.53e+01 8.63e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 12000 8.37e+01 8.46e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 13000 8.27e+01 8.36e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 14000 8.19e+01 8.28e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 15000 8.22e+01 8.32e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 16000 8.40e+01 8.51e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 17000 8.33e+01 8.44e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 18000 8.30e+01 8.40e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 19000 8.30e+01 8.40e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 8 20000 8.35e+01 8.44e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 1000 4.77e-01 3.79e+00
2 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 2000 4.39e+00 8.55e+00
3 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 3000 1.27e+01 1.68e+01
4 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 4000 2.16e+01 2.55e+01
5 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 5000 3.20e+01 3.57e+01
6 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 6000 4.09e+01 4.44e+01
7 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 7000 5.01e+01 5.32e+01
8 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 8000 5.95e+01 6.22e+01
9 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 9000 6.93e+01 7.16e+01
10 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 10000 7.90e+01 8.09e+01
11 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 11000 8.83e+01 8.98e+01
12 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 12000 9.00e+01 9.11e+01
13 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 13000 9.06e+01 9.14e+01
14 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 14000 9.02e+01 9.11e+01
15 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 15000 9.13e+01 9.22e+01
16 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 16000 9.03e+01 9.12e+01
17 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 17000 9.06e+01 9.15e+01
18 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 18000 9.08e+01 9.17e+01
19 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 19000 9.03e+01 9.12e+01
20 DQN 8 8 0 1 2.50e-01 False 2.50e-01 0 0 9 20000 9.06e+01 9.18e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 1000 2.46e-01 4.08e+00
2 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 2000 1.47e+00 7.59e+00
3 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 3000 4.87e+00 1.69e+01
4 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 4000 8.56e+00 2.59e+01
5 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 5000 1.25e+01 3.52e+01
6 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 6000 1.61e+01 4.40e+01
7 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 7000 1.99e+01 5.24e+01
8 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 8000 2.36e+01 6.12e+01
9 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 9000 2.80e+01 7.11e+01
10 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 10000 3.11e+01 8.05e+01
11 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 11000 3.51e+01 8.96e+01
12 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 12000 3.55e+01 9.04e+01
13 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 13000 3.52e+01 9.02e+01
14 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 14000 3.38e+01 8.70e+01
15 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 15000 3.28e+01 8.62e+01
16 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 16000 3.25e+01 8.51e+01
17 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 17000 3.12e+01 8.30e+01
18 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 18000 3.14e+01 8.42e+01
19 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 19000 3.04e+01 8.17e+01
20 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 0 20000 3.08e+01 8.25e+01
# training_iteration, algorithm, state_space_size, action_space_size, delay, sequence_length, reward_density, make_denser, terminal_state_density, transition_noise, reward_noise, dummy_seed, timesteps_total, episode_reward_mean, episode_len_mean
1 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 1000 2.53e-01 3.83e+00
2 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 2000 1.54e+00 7.47e+00
3 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 3000 6.35e+00 1.68e+01
4 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 4000 1.08e+01 2.57e+01
5 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 5000 1.55e+01 3.45e+01
6 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 6000 2.05e+01 4.43e+01
7 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 7000 2.49e+01 5.25e+01
8 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 8000 2.95e+01 6.13e+01
9 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 9000 3.42e+01 7.06e+01
10 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 10000 3.89e+01 7.97e+01
11 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 11000 4.25e+01 8.68e+01
12 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 12000 4.23e+01 8.63e+01
13 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 13000 4.26e+01 8.70e+01
14 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 14000 4.19e+01 8.58e+01
15 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 15000 4.25e+01 8.67e+01
16 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 16000 4.31e+01 8.79e+01
17 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 17000 4.28e+01 8.71e+01
18 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 18000 4.12e+01 8.41e+01
19 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 19000 4.12e+01 8.40e+01
20 DQN 8 8 0 2 2.50e-01 False 2.50e-01 0 0 1 20000 4.07e+01 8.29e+01
